epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.518,1.20025,3.32058,0.00527,0.56199,0.66238,0.58767,0.45204,0.79861,8.84403,0.01488,0.000663283,0.000663283,0.000663283
2,141.783,1.2346,1.74124,0.00591,0.52721,0.59059,0.51843,0.33169,1.10188,3.31926,0.01871,0.00131349,0.00131349,0.00131349
3,196.959,1.23751,1.35763,0.00603,0.58844,0.6397,0.62426,0.44599,0.99069,4.07941,0.0169,0.0019472,0.0019472,0.0019472
4,253.481,1.25312,1.25475,0.00627,0.60789,0.63733,0.60483,0.416,1.09156,2.01789,0.01804,0.00192575,0.00192575,0.00192575
5,310.183,1.23373,1.18093,0.00593,0.56388,0.62906,0.6479,0.47204,0.91824,2.54414,0.01536,0.001901,0.001901,0.001901
6,365.75,1.18956,1.12223,0.00577,0.61567,0.62791,0.62154,0.42847,1.09189,1.77663,0.01994,0.00187625,0.00187625,0.00187625
7,422.513,1.17052,1.08284,0.00567,0.49794,0.51625,0.41896,0.28265,0.92698,1.95977,0.01711,0.0018515,0.0018515,0.0018515
8,481.079,1.15769,1.06136,0.00568,0.5501,0.67564,0.57331,0.38284,0.90758,1.98401,0.01659,0.00182675,0.00182675,0.00182675
9,536.628,1.14748,1.02251,0.00554,0.55782,0.48375,0.49725,0.33978,1.11039,1.94641,0.0193,0.001802,0.001802,0.001802
10,590.878,1.12165,1.01468,0.00537,0.48053,0.49701,0.43922,0.31752,0.97143,2.27844,0.01752,0.00177725,0.00177725,0.00177725
11,647.038,1.1094,1.00067,0.00528,0.56619,0.587,0.50759,0.34502,1.12301,2.35255,0.01935,0.0017525,0.0017525,0.0017525
12,704.974,1.10142,0.97511,0.00529,0.67479,0.66922,0.67775,0.51306,0.90491,1.81747,0.01678,0.00172775,0.00172775,0.00172775
13,760.714,1.09407,0.95226,0.00521,0.57088,0.59014,0.56607,0.4378,0.81667,1.82125,0.01397,0.001703,0.001703,0.001703
14,818.184,1.07586,0.94506,0.00518,0.7139,0.6673,0.70278,0.51002,0.92429,1.46142,0.01615,0.00167825,0.00167825,0.00167825
15,873.154,1.07871,0.95335,0.00515,0.60156,0.70172,0.66267,0.50322,0.84094,1.80001,0.01356,0.0016535,0.0016535,0.0016535
16,929.339,1.05934,0.93481,0.00509,0.66747,0.75143,0.73859,0.57167,0.87116,1.28278,0.01431,0.00162875,0.00162875,0.00162875
17,984.931,1.04696,0.91509,0.00499,0.66174,0.67495,0.64255,0.45333,0.99493,2.30523,0.01585,0.001604,0.001604,0.001604
18,1041.99,1.03159,0.89996,0.00489,0.62672,0.67304,0.66307,0.49108,0.89058,1.71617,0.01464,0.00157925,0.00157925,0.00157925
19,1099.37,1.02318,0.89325,0.00489,0.57517,0.68083,0.65623,0.46976,1.05177,1.5612,0.01622,0.0015545,0.0015545,0.0015545
20,1156.32,1.03328,0.89362,0.005,0.70871,0.81877,0.77507,0.60506,0.8266,1.21349,0.0144,0.00152975,0.00152975,0.00152975
21,1209.96,1.02002,0.88028,0.00476,0.67411,0.60117,0.6308,0.48333,0.81056,1.39597,0.01324,0.001505,0.001505,0.001505
22,1265.43,1.0188,0.87526,0.00486,0.60439,0.61759,0.59837,0.45343,0.94096,1.68003,0.01488,0.00148025,0.00148025,0.00148025
23,1321.08,1.01156,0.86198,0.00471,0.60887,0.63098,0.61016,0.48849,0.76359,2.77327,0.01273,0.0014555,0.0014555,0.0014555
24,1377.59,0.98796,0.84875,0.00464,0.6222,0.79924,0.71351,0.56567,0.71603,1.68385,0.01157,0.00143075,0.00143075,0.00143075
25,1435.84,0.99817,0.85215,0.00474,0.7096,0.69407,0.6834,0.55292,0.72031,1.35416,0.01201,0.001406,0.001406,0.001406
26,1490.05,0.9796,0.83206,0.00461,0.5895,0.78806,0.65949,0.50457,0.80178,1.52306,0.01382,0.00138125,0.00138125,0.00138125
27,1544.81,0.97773,0.83606,0.00462,0.68724,0.68834,0.68985,0.55697,0.75487,1.46117,0.01313,0.0013565,0.0013565,0.0013565
28,1602.33,0.9728,0.82542,0.00461,0.63274,0.5717,0.56942,0.42998,0.87963,1.69556,0.01484,0.00133175,0.00133175,0.00133175
29,1658.73,0.97152,0.82425,0.00453,0.70677,0.71895,0.73734,0.61375,0.6625,1.47888,0.01097,0.001307,0.001307,0.001307
30,1715.58,0.96094,0.82086,0.00444,0.64741,0.80115,0.69377,0.53359,0.7793,1.42521,0.01305,0.00128225,0.00128225,0.00128225
31,1772.8,0.95316,0.78997,0.00431,0.71918,0.80795,0.77254,0.60575,0.77948,1.39152,0.01267,0.0012575,0.0012575,0.0012575
32,1829.04,0.95414,0.81294,0.00449,0.7345,0.70351,0.74719,0.61393,0.6901,2.44794,0.01111,0.00123275,0.00123275,0.00123275
33,1883.85,0.94713,0.8026,0.00432,0.64438,0.57553,0.6172,0.47029,0.88703,1.94271,0.01434,0.001208,0.001208,0.001208
34,1941.48,0.94851,0.79433,0.00425,0.58953,0.57553,0.51897,0.39465,0.89946,1.91319,0.01419,0.00118325,0.00118325,0.00118325
35,1997.16,0.93603,0.78751,0.00427,0.6601,0.70924,0.7129,0.55774,0.78628,1.56012,0.01363,0.0011585,0.0011585,0.0011585
36,2052.18,0.92203,0.76664,0.0042,0.71033,0.65175,0.69124,0.4946,0.99052,1.61009,0.01664,0.00113375,0.00113375,0.00113375
37,2108.95,0.92035,0.7749,0.00421,0.63005,0.68708,0.66774,0.52259,0.74653,1.49038,0.0128,0.001109,0.001109,0.001109
38,2163.91,0.92024,0.77895,0.00425,0.62924,0.72365,0.67137,0.55722,0.67378,1.6784,0.01078,0.00108425,0.00108425,0.00108425
