epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.8976,1.22567,3.52662,0.00448,0.44124,0.43931,0.40744,0.33477,0.56747,20.7631,0.00698,0.000663004,0.000663004,0.000663004
2,144.642,1.22858,1.72641,0.00465,0.32115,0.43353,0.34416,0.27565,0.67874,9.44395,0.00919,0.00131322,0.00131322,0.00131322
3,207.439,1.24567,1.36946,0.00487,0.35413,0.49133,0.35109,0.2429,0.89841,6.78454,0.01219,0.00194693,0.00194693,0.00194693
4,265.762,1.25799,1.21723,0.00497,0.2614,0.38728,0.24146,0.17123,0.83154,5.39942,0.01118,0.00192575,0.00192575,0.00192575
5,322.983,1.22259,1.15929,0.00479,0.1942,0.3237,0.15226,0.10049,1.10662,5.48772,0.01543,0.001901,0.001901,0.001901
6,386.51,1.20379,1.11212,0.00475,0.24443,0.16185,0.11955,0.08843,0.93297,4.31809,0.01326,0.00187625,0.00187625,0.00187625
7,449.57,1.1761,1.03511,0.00454,0.56816,0.49711,0.52931,0.40288,0.80728,2.69502,0.01087,0.0018515,0.0018515,0.0018515
8,510.729,1.16048,1.04308,0.00474,0.22372,0.26012,0.13009,0.09053,0.93867,4.0459,0.01305,0.00182675,0.00182675,0.00182675
9,565.802,1.14511,0.98684,0.00434,0.50376,0.33526,0.37624,0.27922,0.77064,7.46744,0.00996,0.001802,0.001802,0.001802
10,628.265,1.13017,0.99753,0.00444,0.5791,0.58382,0.54116,0.43135,0.6809,3.91959,0.00888,0.00177725,0.00177725,0.00177725
